2026-04-27 11:15:28.316 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.316 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:28.317 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:29.159 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:29.160 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:29.161 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:29.189 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:29.190 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:29.191 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:30.015 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.017 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.018 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:30.019 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.021 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.022 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:30.023 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.029 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.031 | INFO     | freqtrade_gui.settings         | Settings saved to /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:30.032 | DEBUG    | freqtrade_gui.settings         | Saved: python=/home/mohs/Desktop/ae/pyside6/.venv/bin/python venv=/home/mohs/Desktop/ae/pyside6/.venv user_data=/home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:31.030 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:31.033 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:31.036 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse: 3 distinct pairs from 104 trades
2026-04-27 11:15:31.036 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse complete: 3 pairs, best=['HOME/USDT', 'XRP/USDT', 'ADA/USDT'], worst=['ADA/USDT', 'XRP/USDT', 'HOME/USDT'], flags=[]
2026-04-27 11:15:31.036 | DEBUG    | freqtrade_gui.services.diagnosis | diagnose: 0 rules fired
2026-04-27 11:15:31.037 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:31.046 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.035 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.045 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.049 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse: 3 distinct pairs from 104 trades
2026-04-27 11:15:32.050 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse complete: 3 pairs, best=['HOME/USDT', 'XRP/USDT', 'ADA/USDT'], worst=['ADA/USDT', 'XRP/USDT', 'HOME/USDT'], flags=[]
2026-04-27 11:15:32.051 | DEBUG    | freqtrade_gui.services.diagnosis | diagnose: 0 rules fired
2026-04-27 11:15:32.052 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.057 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.063 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.066 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.068 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse: 3 distinct pairs from 104 trades
2026-04-27 11:15:32.068 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse complete: 3 pairs, best=['HOME/USDT', 'XRP/USDT', 'ADA/USDT'], worst=['ADA/USDT', 'XRP/USDT', 'HOME/USDT'], flags=[]
2026-04-27 11:15:32.069 | DEBUG    | freqtrade_gui.services.diagnosis | diagnose: 0 rules fired
2026-04-27 11:15:32.070 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:32.078 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.641 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.647 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.648 | DEBUG    | freqtrade_gui.freqtrade.discovery | Listing strategies from: /home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:52.652 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.659 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.698 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.700 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:52.701 | DEBUG    | freqtrade_gui.freqtrade.discovery | Listing strategies from: /home/mohs/Desktop/ae/pyside6/user_data
2026-04-27 11:15:52.702 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:53.421 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:54.646 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:54.649 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:54.651 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:15:54.653 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse: 3 distinct pairs from 104 trades
2026-04-27 11:15:54.653 | DEBUG    | freqtrade_gui.services.pair_analysis | analyse complete: 3 pairs, best=['HOME/USDT', 'XRP/USDT', 'ADA/USDT'], worst=['ADA/USDT', 'XRP/USDT', 'HOME/USDT'], flags=[]
2026-04-27 11:15:54.653 | DEBUG    | freqtrade_gui.services.diagnosis | diagnose: 0 rules fired
2026-04-27 11:15:54.659 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:16:25.765 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:16:25.767 | DEBUG    | freqtrade_gui.settings         | Settings loaded from /home/mohs/Desktop/ae/pyside6/data/settings.json
2026-04-27 11:16:25.767 | DEBUG    | freqtrade_gui.freqtrade.discovery | Listing strategies from: /home/mohs/Desktop/ae/pyside6/user_data
