2026-04-26 00:20:16.661 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Sortino                       │ -6.99                          │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Sharpe                        │ -6.99                          │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Calmar                        │ -136.46                        │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ SQN                           │ -2.56                          │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Profit factor                 │ 0.00                           │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Expectancy (Ratio)            │ -3.66 (-1.00)                  │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Avg. daily profit             │ -0.523 USDT                    │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Avg. stake amount             │ 39.928 USDT                    │\n'
2026-04-26 00:20:16.662 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Total trade volume            │ 152.696 USDT                   │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│                               │                                │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Best Pair                     │ HOME/USDT 0.00%                │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Worst Pair                    │ XRP/USDT -6.36%                │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Best trade                    │ ETH/USDT -5.58%                │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Worst trade                   │ XRP/USDT -12.73%               │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Best day                      │ -7.32 USDT                     │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Worst day                     │ -7.32 USDT                     │\n'
2026-04-26 00:20:16.663 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Days win/draw/lose            │ 0 / 0 / 1                      │\n'
2026-04-26 00:20:16.664 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Min/Max/Avg. Duration Winners │ 0d 00:00 / 0d 00:00 / 0d 00:00 │\n'
2026-04-26 00:20:16.664 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Min/Max/Avg. Duration Losers  │ 6d 08:00 / 6d 08:00 / 6d 08:00 │\n'
2026-04-26 00:20:16.664 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '│ Max Consecutive Wins / Loss   │ 0 / 2                          │\n'
